customer_unique_id,customer_id,customer_zip_code_prefix,customer_city,customer_state,order_id,order_status,order_purchase_timestamp,payment_sequential,payment_type,payment_installments,payment_value,duplicate_product,product_id,seller_id,price,freight_value,product_name_english
14843983d4a159080f6afe4b7f346e7c,000419c5494106c306a97b5635748086,24220,niteroi,RJ,07f6c3baf9ac86865b60f640c4f923c6,delivered,3/2/18 17:47,1,credit_card,4,49.4,1,daa7499d1e545811c843e8189cd30286,e5a3438891c0bfdb9394643f95273d8e,34.3,15.1,fashion_bags_accessories
5616f75d22507069b5383854a1d8c414,00146ad30454993879adaa91c518f68c,31060,belo horizonte,MG,b60b122b336eaee3323565272f117bec,delivered,1/8/18 20:40,1,credit_card,7,221.79,1,429e7401fafb76436f15e86498bd7364,da8622b14eb17ae2831f4ac5b9dab84a,199.9,21.89,bed_bath_table
a73c5464692d3bc09d64e3edefae9015,0036875772a8eeb391b8cd7226283fdd,9270,santo andre,SP,246161390a20f964881feeaeea896671,delivered,1/21/18 22:49,1,credit_card,1,61.85,1,58c975d8b74f2c5a520b580f46456cf5,efcd8d2104f1a05d028af7bad20d974b,50,11.85,fashion_bags_accessories
1b6e96ed99cb8d135efe220d761bbd67,003ec17a1389fa302f3a0423dddd8650,13190,monte mor,SP,92c15142e314731cebdb5b1cd25962ac,delivered,1/14/18 17:25,1,credit_card,1,17.77,1,c69da983317ecee971f64fc8202c959a,9f505651f4a6abe901a56cdc21508025,9.99,7.78,computers_accessories
fd03997c82649affc061d275ddf1f3d9,005196c65bab2861e397cc85bc7664bf,29162,serra,ES,708d3d7c0c996a92a48a8cf501f6fd8b,delivered,1/17/18 14:35,1,credit_card,10,1233.65,1,25c38557cf793876c5abdd5931f922db,ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,1089,144.65,baby
d3857f98166ef23ca95d44cbe9b1828c,00838729460c2110a0bd330a4bb9b332,74063,goiania,GO,81f8f469c9ebd7916d4d35d7b379127c,delivered,3/24/18 7:54,1,credit_card,1,5.13,1,f76a9967d2129cda56d7b3be6cb5c9cf,ea8482cd71df3c1969d7b9473ff13abc,39.9,15.23,telephony
d3857f98166ef23ca95d44cbe9b1828c,00838729460c2110a0bd330a4bb9b332,74063,goiania,GO,81f8f469c9ebd7916d4d35d7b379127c,delivered,3/24/18 7:54,2,voucher,1,50,1,f76a9967d2129cda56d7b3be6cb5c9cf,ea8482cd71df3c1969d7b9473ff13abc,39.9,15.23,telephony
1500da334da019c68fda219f942ba38a,00da48d824214ffba48ab43f5b1d29a0,95040,caxias do sul,RS,0f2bbeda958833e5a67ceb4368f282fe,delivered,4/29/18 9:43,1,credit_card,1,436.14,1,bcf8ab16f538b2f7bd63ebf67faef909,d93844a9c55ba7ce353388bcf849ea56,399.8,36.34,furniture_decor
52d40ed525892e7b31fc34aa750419c9,010f3c6e21051748f72f762b9a7cb85d,7054,guarulhos,SP,56fcb6d24acb1b94dd4492f663187b69,delivered,6/6/18 15:31,1,credit_card,1,98.34,1,06649da52cbfbb4e9b6cfc332d56c119,ce248b21cb2adc36282ede306b7660e5,79.9,18.44,home_appliances
86b0aa3acd7e8f7427c8915780f5cd27,012b69962ffef2be728865fe6a90359c,66615,belem,PA,7611315a76580a81e6f86cd62f4ad994,delivered,2/5/18 10:10,1,credit_card,15,392.94,1,d473f089b5ee128dde110a0f756f8ef0,270297ead4c65a6cd2593960d2af6b21,369.95,22.99,furniture_decor
731a127666e5bc79810ebdc48eeff385,01d95b948587656bd900ca5e00983957,5531,sao paulo,SP,173be97f981ae72384ff95a719544e7e,delivered,2/13/18 22:54,1,credit_card,6,101.91,1,5cf337446524f9125e42b40abd6ccb73,1835b56ce799e6a4dc4eddc053f04066,88.95,12.96,bed_bath_table
be33ce67f6c02b468b94afa895a955fe,01ea4160e63a7ce5101967e07ddf4c18,34800,caete,MG,3d1bbd8630ca04120738e98740d93503,delivered,5/14/18 20:29,1,credit_card,8,89.45,1,8a83947ee16d41d5e83dd90b7d28caee,dee656f0f566ed1aa85bd137c943f08f,69.99,19.46,sports_leisure
81db097ffce4bd958cfffeca7c41e301,02033fca76b4af0eda65418e673b5a57,5061,sao paulo,SP,6ed4a347a81d5ceb3f8da510c318b5ec,delivered,1/26/18 10:59,1,credit_card,1,195.72,2,36f60d45225e60c7da4558b070ce4b60,6973a06f484aacf400ece213dbf3d946,89.49,8.37,computers_accessories
59d8d1ea35c02a6a070ee29944b0ea86,02036d14d9326c01a123bd83626d48c0,22773,rio de janeiro,RJ,e86c9bfc5e5cce878c7d0c2419927cd7,delivered,3/13/18 19:10,1,credit_card,3,64.23,1,5e21d5cab5d33e770d8150a4ee6117db,6560211a19b47992c3666cc44a7e94c0,49,15.23,watches_gifts
55efe0d41e47d41465ea4fb5f8badee0,020f4af7eeabf986e31eb7ac4c6597cb,17032,bauru,SP,3237491ee1f51f346e175b2dc581b734,delivered,4/28/18 13:22,1,credit_card,1,43.03,1,0799c9e16e4079d23e53f91ccdf0d8bf,2a84855fd20af891be03bc5924d2b453,24.8,18.23,housewares
77001b080dd723bc9a22e538e5e06e41,0218de8038240591323aa1f89630a1e8,6463,barueri,SP,12c52aeb1dba3fcbef2e36accacca1e4,delivered,2/13/18 15:19,1,credit_card,1,69.03,1,616042729c11849827291496b18e9ec5,6b243f80ed07b10f0e8aa0f21a205f3c,54.9,14.13,sports_leisure
